"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-02-03,23,0,18.65,83,0,0
2016-02-04,0,0,18.8,85.5,0,0
2016-02-04,1,0,18.1,87.5,0,0
2016-02-04,2,0,17.45,90.5,0.2,0
2016-02-04,3,0,17.1,92,0.2,0
2016-02-04,4,0,16.95,93,0,0
2016-02-04,5,0,16.95,94,0,0
2016-02-04,6,3.5,17.1,93.5,0.4,0
2016-02-04,7,73.5,17.8,92,0,0
2016-02-04,8,215,19.7,86,0.4,0
2016-02-04,9,523.5,22.35,75.5,0.9,0
2016-02-04,10,588.5,23.35,72,1.1,0
2016-02-04,11,475,24.05,66.5,1.8,0
2016-02-04,12,689.5,25.8,60.5,1.8,0
2016-02-04,13,859.5,27.5,51.5,2.45,0
2016-02-04,14,742.5,27.95,47.5,3.55,0
2016-02-04,15,410.5,26.05,57,4.5,0
2016-02-04,16,389.5,24.8,57,5.8,0
2016-02-04,17,142,22.95,62.5,5.4,0
2016-02-04,18,6,21.6,68,2.45,0
2016-02-04,19,0,21.05,71.5,1.1,0
2016-02-04,20,0,19.8,78,2,0
2016-02-04,21,0,18.55,81,0.2,0
2016-02-04,22,0,17.95,84,0.2,0
2016-02-04,23,0,17.8,85,0.4,0
2016-02-05,0,0,17.1,87.5,0,0
2016-02-05,1,0,17.05,89,0,0
2016-02-05,2,0,17.05,90,0.2,0
2016-02-05,3,0,16.6,91,0.4,0
2016-02-05,4,0,16.65,91,0,0
2016-02-05,5,0,16.6,91.5,0.65,0
2016-02-05,6,8,16.6,92,0,0
2016-02-05,7,70.5,17.05,91.5,0.45,0
2016-02-05,8,253,18.85,86.5,0.2,0
2016-02-05,9,417.5,20.65,82.5,1.55,0
2016-02-05,10,682.5,21.95,77,1.55,0
2016-02-05,11,875.5,23.9,70,2.25,0
2016-02-05,12,836.5,24.75,64.5,2.2,0
2016-02-05,13,788,26.35,55.5,2.65,0
2016-02-05,14,676,25.55,62.5,4.5,0
2016-02-05,15,614.5,24.8,64,5.4,0
2016-02-05,16,337.5,23,67.5,5.4,0
2016-02-05,17,45,21,72.5,2.9,0
2016-02-05,18,1,17.35,91,1.1,6.8
2016-02-05,19,0,17.05,90,0.2,0
2016-02-05,20,0,16.95,93,0,0
2016-02-05,21,0,16.9,93,0,0
2016-02-05,22,0,17.1,94,0.2,0
2016-02-05,23,0,16.65,92.5,0.4,0
2016-02-06,0,0,16.5,95,0.2,0
2016-02-06,1,0,15.9,95.5,0.2,0
2016-02-06,2,0,16.1,93.5,0.2,0
2016-02-06,3,0,15.35,96,0.2,0
2016-02-06,4,0,15.6,96,0,0
2016-02-06,5,0,15.6,96,0,0
2016-02-06,6,3.5,15.8,96,0,0
2016-02-06,7,94.5,16.35,96.5,0,0
2016-02-06,8,356,19.05,89.5,0.9,0
2016-02-06,9,600.5,21,78.5,1.1,0.2
2016-02-06,10,697,23.35,73,0.9,0
2016-02-06,11,691,24.3,63.5,1.35,0
2016-02-06,12,888,25.3,55.5,1.8,0
2016-02-06,13,827,27.5,44,1.55,0
2016-02-06,14,804.5,27.85,38.5,2.9,0
2016-02-06,15,639.5,27.8,40.5,3.8,0
2016-02-06,16,413,26.7,50,4.25,0
2016-02-06,17,163.5,24.45,61,4.9,0
2016-02-06,18,19,22.6,67,3.35,0
2016-02-06,19,0,21.8,67,0.4,0
2016-02-06,20,0,21.3,68.5,0.2,0
2016-02-06,21,0,20.1,75,0,0
2016-02-06,22,0,20.3,72.5,0.4,0
2016-02-06,23,0,19.3,74,0,0
2016-02-07,0,0,18.35,77.5,0.2,0
2016-02-07,1,0,16.7,84.5,0.65,0
2016-02-07,2,0,16.45,87.5,0.65,0
2016-02-07,3,0,15.9,87.5,0,0
2016-02-07,4,0,15.2,91.5,0,0
2016-02-07,5,0,15.45,90,0,0
2016-02-07,6,3.5,15.2,90,0,0
2016-02-07,7,122,16.75,91,0,0
2016-02-07,8,352,19.5,81.5,0,0
2016-02-07,9,578,22.05,70,0,0
2016-02-07,10,761.5,24.7,59,0.65,0
2016-02-07,11,696,25.75,58,1.3,0
2016-02-07,12,886,26.75,52,2.45,0
2016-02-07,13,902,27.7,46,3.8,0
2016-02-07,14,720.5,27.6,48.5,3.55,0
2016-02-07,15,269,25.85,54.5,4.7,0
2016-02-07,16,378.5,24.9,56.5,5.35,0
2016-02-07,17,132,23.25,63.5,5.15,0
2016-02-07,18,6.5,21.8,73,4.25,0
2016-02-07,19,0,21.3,74.5,2,0
2016-02-07,20,0,21,77,1.1,0
2016-02-07,21,0,20.5,79,0.65,0
2016-02-07,22,0,19.6,83,0.4,0
2016-02-07,23,0,18.55,88,0.4,0
2016-02-08,0,0,17.85,90.5,0.4,0
2016-02-08,1,0,17.5,94,0.2,0
2016-02-08,2,0,17,94.5,0.4,0
2016-02-08,3,0,16.9,95,0.2,0
2016-02-08,4,0,16.7,95.5,0.2,0
2016-02-08,5,0,16.75,96,0.2,0
2016-02-08,6,1.5,16.85,97,0.2,0
2016-02-08,7,45.5,17.65,98,0,0
2016-02-08,8,166,18.75,93.5,0.65,0
2016-02-08,9,217,20.2,87.5,0.65,0
2016-02-08,10,341.5,21.7,80.5,0.9,0
2016-02-08,11,355,22.75,78.5,0.9,0
2016-02-08,12,448,24.15,71,1.1,0
2016-02-08,13,422.5,25.5,65.5,0.9,0
2016-02-08,14,354.5,25.95,62.5,1.1,0
2016-02-08,15,218,25.05,64,2.2,0
2016-02-08,16,149,22.5,75,1.75,0
2016-02-08,17,117.5,22.3,75.5,1.1,0
2016-02-08,18,21.5,20.55,81,1.55,0
2016-02-08,19,0,19.95,84.5,0.2,0
2016-02-08,20,0,19.55,88,0,0
2016-02-08,21,0,19.45,90.5,0,0
2016-02-08,22,0,19.3,91.5,0,0
2016-02-08,23,0,18.8,93,0.2,0
2016-02-09,0,0,18.3,94.5,0.2,0
2016-02-09,1,0,18.1,95.5,0.4,0
2016-02-09,2,0,17.8,96,0,0
2016-02-09,3,0,17.65,97,0,0
2016-02-09,4,0,17.75,96,0,0
2016-02-09,5,0,17.2,95.5,0.45,0
2016-02-09,6,4.5,16.95,95.5,0.4,0
2016-02-09,7,109,18.25,93.5,0,0
2016-02-09,8,331.5,20.1,85,0.65,0
2016-02-09,9,593.5,22.9,73,0.9,0
2016-02-09,10,552,23.9,69.5,2,0
2016-02-09,11,609,25.5,63.5,1.75,0
2016-02-09,12,901.5,26.5,56.5,2.45,0
2016-02-09,13,952,27.05,53.5,2.65,0
2016-02-09,14,356.5,26.7,51.5,2.25,0
2016-02-09,15,346,26.7,54,3.8,0
2016-02-09,16,295,25.4,58.5,4.25,0
2016-02-09,17,92.5,23.65,65,4.25,0
2016-02-09,18,6.5,22.25,73,2.65,0
